기간,행정구역별,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2019,성북구,13848,17483,17664,22629,37032,36053,29692,34124,32990,40412,36275,34354,31338,21956,18156,15097,9397,3983,1497,400,364
2019,강북구,7766,9801,10322,13476,20968,23504,19498,22375,21993,27478,26808,27489,25640,18748,16247,13379,7636,2929,1084,318,236
2019,도봉구,9189,11571,11975,15836,21808,23806,20247,23709,22685,28767,28915,29964,28445,19006,14951,12190,7449,3399,1244,316,159
2019,노원구,15356,20550,24639,32536,40380,36196,31073,37088,39444,50962,46364,43038,38754,26350,20311,16257,10467,5044,1749,492,253
2019,은평구,14427,17472,18202,22771,30174,36624,32581,38294,36135,42871,39268,38996,35993,25474,21293,16960,10380,4238,1571,425,397
2019,서대문구,9600,11136,10999,14924,27421,28802,22567,23982,22399,26786,25501,24887,22093,15247,13138,11225,7501,3140,1191,353,279
2019,마포구,13043,13901,14057,16522,28822,37358,33436,34386,30302,33402,28716,26604,22947,15590,13268,11188,7236,3289,1182,356,320
2019,양천구,13264,20089,24455,28256,30629,31055,27423,33361,36357,45111,40721,37702,32598,22157,15956,11171,6846,3381,1240,342,171
2019,강서구,20904,23465,21684,25899,35759,52571,50875,53866,46080,48424,44006,46593,44070,30006,22350,15282,9327,4590,1833,471,218
2019,구로구,15662,16981,15131,17257,25101,33305,33514,37240,33739,37366,36394,38684,33218,23095,17800,12776,7432,3121,1100,299,156
2019,금천구,7446,7705,7117,9108,15210,22406,19757,19330,17042,21129,23132,24953,19825,13212,10068,7489,4143,1799,605,175,169
2019,영등포구,14111,13494,11733,14015,22602,36612,36846,35177,29297,32894,32966,34853,28514,19037,15013,11484,7352,3228,1150,338,270
2019,동작구,12708,14297,13357,16860,31549,39776,33147,32867,29677,32302,30520,31421,28205,19985,16507,12656,7651,3448,1319,370,290
2019,관악구,12322,13694,13494,17745,41202,69774,50342,41882,34770,38826,36521,37689,33879,24946,20530,15783,8617,3424,1248,341,305
2019,서초구,14840,21503,22494,23731,25851,31347,31463,36523,37414,42069,33815,29565,27356,19412,15893,10646,6239,2960,1365,412,209
2019,강남구,15439,23402,28114,32497,34690,42754,41270,45900,46859,53979,44027,36818,33435,24599,19859,13042,7357,3705,1706,485,272
2019,송파구,24742,29288,28804,33042,42090,54975,55673,60594,53825,58090,53561,52544,48179,32847,23357,15127,8875,4488,1860,510,270
2019,강동구,14711,17684,17715,20860,26577,33085,31801,36928,33719,37032,35177,37029,34620,23443,17205,11240,6471,3147,1351,366,229
