기간,자치구,살인,강도,강간강제추행,절도,폭력,범죄증가비
2015,금천구,0.11711,0.23422,5.89459,61.17103,80.18207,2.008796806
2016,금천구,0.23561,0.27488,6.87207,49.63598,86.11685,2.031184671
2017,금천구,0.19725,0.19725,9.46779,45.01146,73.92767,2.11128736
2018,금천구,0.2362,0.27557,7.87336,45.98045,75.26937,1.993570175
2019,금천구,0.23827,0.39711,6.07577,45.94552,70.6457,2.051358137
2015,노원구,0.17294,0.12106,3.407,37.92668,47.09272,2.02163437
2016,노원구,0.08753,0.10504,2.78355,32.50982,44.04669,2.115522019
2017,노원구,0.07167,0.16127,3.22537,27.55902,44.40263,2.05453026
2018,노원구,0.09121,0.09121,3.53911,25.94133,43.43622,2.031749784
2019,노원구,0.07445,0.05583,3.42451,27.87999,45.85867,1.94573447
2015,도봉구,0.08493,0.25478,2.88755,30.09277,42.09591,2.164526491
2016,도봉구,0.08565,0.14275,3.51156,24.72364,41.13946,2.083514719
2017,도봉구,0.02888,0.08665,3.00375,18.28243,36.33381,2.205550067
2018,도봉구,0.02927,0.14635,3.30749,22.85972,39.48497,1.877068959
2019,도봉구,0.02979,0.14897,2.68152,23.53775,36.46862,2.04710208
2015,동대문구,0.13375,0.34776,4.62785,52.99285,68.16042,1.918235823
2016,동대문구,0.13502,0.27004,5.13081,52.38826,71.34524,1.976740507
2017,동대문구,0.30054,0.08196,4.50806,42.26649,61.44624,2.190289631
2018,동대문구,0.05489,0.13724,3.97982,39.71587,57.11729,2.075225699
2019,동대문구,0.16528,0.27546,4.62781,42.17364,54.45936,1.99315212
2015,동작구,0.12113,0.21804,6.9045,45.18211,46.27229,1.934986976
2016,동작구,0.19359,0.16939,7.86455,29.66749,40.19388,2.263919328
2017,동작구,0.02448,0.17136,9.69417,30.01275,41.61638,1.957921048
2018,동작구,0.07328,0.17099,7.03494,28.11534,40.32879,2.076539149
2019,동작구,0.09782,0.02446,6.13824,32.47643,44.41053,1.910711185
2015,마포구,0.20083,0.35145,7.38043,64.13941,74.88371,1.986770855
2016,마포구,0.10233,0.10233,10.20755,64.64784,75.18797,1.978088297
2017,마포구,0.07776,0.20737,12.96065,54.27922,69.28766,2.098202608
2018,마포구,0.1553,0.1553,12.2425,52.05004,69.26201,2.022018501
2019,마포구,0.05182,0.05182,12.82633,56.74678,55.78804,2.066953924
2015,서대문구,0.0619,0.15475,4.76625,56.08084,63.63257,2.048233183
2016,서대문구,0.18412,0.15343,5.37022,46.12255,60.63749,2.108728889
2017,서대문구,0.12307,0.03077,6.21485,37.84289,51.56479,2.174275137
2018,서대문구,0.15476,0.09286,6.37613,32.87112,47.23288,2.104333619
2019,서대문구,0.06189,0.15472,5.41509,37.93657,47.49807,1.952357918
2015,서초구,0.17728,0.19944,8.70899,58.39232,53.16249,2.014130907
2016,서초구,0.11075,0.28794,9.48,48.8397,51.78558,2.091730189
2017,서초구,0.20207,0.29187,10.55229,40.68244,53.97383,2.045424375
2018,서초구,0.11411,0.11411,10.7266,42.24455,54.66002,1.980002761
2019,서초구,0.11491,0.16088,14.15744,52.17108,60.76666,1.846812975
2015,성동구,0.13112,0.29502,4.13027,52.6773,52.8412,2.070827221
2016,성동구,0.13022,0.09767,3.38585,42.19286,52.70851,2.117340376
2017,성동구,0.03198,0.09594,4.22115,34.28085,49.85434,2.1133631
2018,성동구,0.0632,0.158,3.98151,31.56767,41.86903,2.139682282
2019,성동구,0.19419,0.29128,4.3045,31.39372,45.11633,1.954974058
2015,성북구,0.10648,0.10648,3.19448,38.01431,47.04404,2.093899009
2016,성북구,0.08665,0.1733,3.3361,31.84458,45.66556,2.0907403
2017,성북구,0.15371,0.17567,3.7988,29.51206,41.76484,2.075606445
2018,성북구,0.15636,0.02234,4.08768,26.00031,37.68258,2.109726124
2019,성북구,0.06597,0.06597,3.87031,23.79361,35.47051,2.074018788
2015,송파구,0.1648,0.19476,3.29598,48.5258,49.36477,2.173296249
2016,송파구,0.13535,0.22558,3.51908,38.24371,49.46266,2.108746846
2017,송파구,0.0894,0.0149,4.291,33.88098,44.80216,2.102408519
2018,송파구,0.07424,0.08909,4.58793,34.92169,46.5474,1.963559531
2019,송파구,0.10253,0.14647,3.99859,35.38677,43.82335,2.033102274
2015,양천구,0.06135,0.1227,2.45394,38.64952,51.30774,2.021629079
2016,양천구,0.10377,0.14527,2.71872,35.67537,46.69551,2.08503311
2017,양천구,0.06316,0.06316,2.90515,33.47242,45.21934,2.044239686
2018,양천구,0.04272,0.08544,2.56331,29.56349,42.82861,2.088430265
2019,양천구,0.12979,0.04326,2.74722,31.94999,34.65395,2.079962937
2015,영등포구,0.33508,0.52655,7.06061,70.94117,85.4932,2.011032961
2016,영등포구,0.31958,0.46708,8.75168,57.54968,88.32806,2.057526416
2017,영등포구,0.37311,0.12437,11.31773,57.31001,79.3485,2.046758174
2018,영등포구,0.42121,0.19822,9.68781,56.7889,77.60159,2.02609571
2019,영등포구,0.24939,0.07482,8.87812,60.07691,75.863,1.996937418
2015,용산구,0.20169,0.56472,7.82545,62.8053,82.69163,1.986524003
2016,용산구,0.1632,0.36719,10.24063,60.75022,97.26563,1.912919293
2017,용산구,0.04091,0.20455,13.3773,55.06374,97.40472,2.016229937
2018,용산구,0.0408,0.1224,13.50524,44.71827,80.78665,2.193412446
2019,용산구,0.12236,0.12236,11.09366,40.74474,83.03934,2.029979472
2015,은평구,0.05969,0.17908,3.30297,38.08364,52.78783,2.143060701
2016,은평구,0.12098,0.18147,3.14556,33.59298,53.7165,2.040280091
2017,은평구,0.12215,0.08143,4.68239,28.23686,45.92815,2.148088107
2018,은평구,0.16405,0.02051,3.8551,26.20646,43.36985,2.073829225
2019,은평구,0.06191,0.02064,4.00375,32.29828,43.69038,1.919338205
2015,종로구,0.36625,0.67146,12.87983,133.31543,139.96899,2.057339302
2016,종로구,0.37055,0.7411,14.69844,119.81077,139.75865,2.04293148
2017,종로구,0.42616,0.6088,15.40269,100.08706,130.46628,2.114937472
2018,종로구,0.36804,0.18402,14.47622,90.96709,120.3489,2.091218214
2019,종로구,0.24711,0.43245,14.70325,93.5942,128.62253,1.952629243
2015,중구,0.22333,0.67,12.6555,189.68354,165.56365,2.041202722
2016,중구,0.2232,0.5952,14.73116,159.95953,165.53951,2.081359138
2017,중구,0.0743,0.66868,19.83758,137.15424,153.12832,2.097102159
2018,중구,0.14746,0.81101,15.26177,136.76613,144.13896,2.046235674
2019,중구,0.14653,0.4396,14.28697,161.33286,140.81824,1.937232331
2015,중랑구,0.31054,0.26277,4.46706,51.00091,68.00917,2.019146887
2016,중랑구,0.19246,0.3368,3.94537,40.68062,76.11679,2.022910557
2017,중랑구,0.12113,0.07268,4.16687,37.13843,69.23785,2.095136077
2018,중랑구,0.098,0.0735,4.26317,37.38849,63.23702,2.054033602
2019,중랑구,0.24874,0.0995,3.43263,41.44031,60.94164,1.98961369
