기간,자치구,살인,강도,강간강제추행,절도,폭력
2019,은평구,0.06191,0.02064,4.00375,32.29828,43.69038
2019,서대문구,0.06189,0.15472,5.41509,37.93657,47.49807
2019,마포구,0.05182,0.05182,12.82633,56.74678,55.78804
2019,양천구,0.12979,0.04326,2.74722,31.94999,34.65395
2019,강서구,0.13372,0.05014,5.11472,34.26529,42.73969
2019,구로구,0.2276,0.06828,5.14372,43.60779,58.08303
2019,금천구,0.23827,0.39711,6.07577,45.94552,70.6457
2019,영등포구,0.24939,0.07482,8.87812,60.07691,75.863
2019,동작구,0.09782,0.02446,6.13824,32.47643,44.41053
2019,관악구,0.25129,0.1933,7.88659,42.97031,51.68808
2019,서초구,0.11491,0.16088,14.15744,52.17108,60.76666
2019,강남구,0.09087,0.09087,12.10449,53.97949,66.48383
2019,송파구,0.10253,0.14647,3.99859,35.38677,43.82335
2019,강동구,0.13624,0.34061,4.08729,37.46679,49.11556
